DIH Name;Location;City;Country;Website;NUTS2 Code ;NUTS2 Name 
Digital Innovation Hub for Society (DIH4S);Memorandumului 28 400641 Cluj-Napoca;Cluj-Napoca;Romania;https://www.dih4society.ro;RO11;Nord-Vest
Digital Innovation Hub for the Galician Agrifood Sector (Part of the Bioeconomy Hub);Axencia Galega de Innovación – GAIN Rúa Airas Nune;Santiago de Compostela;Spain;http://www.polodeinnovaciondixital.org;ES11;Galicia
Digital Innovation Hub for 3D printing (3DJPU);Zagrebacka 30;Pula;Croatia;www.unipu.hr;HR03;Jadranska Hrvatska
Digital Innovation Hub Liguria;Via Melen 77;Genova;Italy;http://www.dihliguria.it;ITC3;Liguria
Digital Innovation Hub Lombardia;Via Pantano, 9;Milano;Italy;http://www.dihlombardia.com;ITC4;Lombardia
Digital Innovation Hub Oceanopolis;Tordenskjoldgate 9;Kristiansand;Norway;https://www.dihoceanopolis.com;NO04;Agder og Rogaland
Digital Innovation Hub of Eastern Slovenia (DIGITECH SI -East);Kidričeva 25;Celje;Slovenia;http://digitech-si-east.eu;SI03;Vzhodna Slovenija
Digital Innovation Hub on Livestock, Environment, Agriculture & Forest (DIH-LEAF);Plaza Misael Bañuelos s/n;Burgos;Spain;https://www.dih-leaf.eu;ES41;Castilla y León
Digital Innovation Hub ONEX - Banja Luka;Veljka Mlađenovića bb 78000 Banja Luka, BiH;Banja Luka;Bosnia and Herzegovina;http://onex.digital;;
Digital Innovation Hub Piemonte;Corso Stati Uniti 38;Torino;Italy;http://www.dih.piemonte.it;ITC1;Piemonte
Digital Innovation Hub Sardegna;Piazza Deffenu 14;Cagliari;Italy;https://www.dihsardegna.eu/;ITG2;Sardegna
Digital Innovation Hub Slovenia;Dimičeva 13;Ljubljana;Slovenia;http://dihslovenia.si/;SI04;Zahodna Slovenija
Digital Innovation Hub Smart Manufacturing in Zuid-Holland SMIZH;Pr. Margrietplantsoen 32;Den Haag;Netherlands;https://www.innovationquarter.nl/;NL33;Zuid-Holland
Digital Innovation Hub 'Smart Production Systems Saxony' – InnoSax;Reichenhainer Straße, 88;Chemnitz;Germany;http://innosax-smartproductionsystems.de;DED4;Chemnitz
DIGITAL INNOVATION HUB „Smart Society“;NEMUNO STREET 2;KLAIPEDA;Lithuania;https://smartsociety.lt/;LT00;Lietuva (NUTS 2013)
Digital Innovation Hub South Tyrol;Volta Street 13A;Bolzano;Italy;http://www.noi.bz.it;ITH1;Provincia Autonoma di Bolzano/Bozen
Digital Innovation Hub Toscana;Piazza della Repubblica, 6 ;Firenze;Italy;https://www.confindustria.toscana.it/digital-innovation-hub-toscana/;ITI1;Toscana
Digital Innovation Hub Trentino-Alto Adige/Suedtirol;via degasperi 77;Trento;Italy;https://dih-taa.eu/digital-innovation-hub-trentino/;ITH2;Provincia Autonoma di Trento
Digital Innovation Hub Vicenza;Via Enrico Fermi 134;Vicenza;Italy;https://www.digitalinnovationhubvicenza.it;ITH3;Veneto
Digital Innovation SMART eHUB;Strada Nicolare Iorga 34-36, Bucureşti;Bucharest;Romania;https://smartehub.ro/;RO32;Bucuresti - Ilfov
Digital Manufacturing Innovation Hub Wales (DMIW);Waterton Technology Centre, Waterton Industrial Estate, Bridgend;Bridgend;United Kingdom;http://www.dmiw.co.uk;UKL1;West Wales and The Valleys
Digital Media Innovation Hub;T.Sevcenkos 16A;Vilnius;Lithuania;https://digitalmediahub.eu;LT00;Lietuva (NUTS 2013)
Digital Silver Economy (DIHDSE);Plaza de Viriato, s/n;Zamora;Spain;https://www.dihsilvereconomy.com/en;ES41;Castilla y León
Digital Water Innovation Hub (Digital Water);Parc de Gardeny, Edifici H3,  Planta baixa;Lleida;Spain;https://eurecat.org/en/centres-of-excellence/centre-for-water-management-excellence/;ES51;Cataluña
Digitalizuj.Me;Vojvode Masa, Djurovica Lamela 3-1;Podgorica;Montenegro;http://digitalizuj.me;ME00;Crna Gora
DigitalLead;Aalborg, Aarhus, Copenhagen, Vejle;Aarhus, Aalborg, Copenhagen, Vejle;Denmark;https://digitallead.dk/;DK04;Midtjylland
DigitalNorway;Gaustadalléen 21;Oslo;Norway;https://www.digitalnorway.com/;NO01;Oslo og Akershus
DigitalPlace;12 rue Louis Courtois de Vicose;Toulouse;France;https://www.digitalplace.fr/;FR62;Midi-Pyrénées (NUTS 2013)
DIGI2Health;Šlechtitelů 21, Olomouc;Olomouc;Czech Republic;https://www.digi2health.com/;CZ07;Strední Morava
DIH - Calabria;Via Tocci 2/C;Cosenza;Italy;https://www.dihcalabria.it/;ITF6;Calabria
DIH AGRIFOOD - Digital Innovation Hub for Agriculture and Food production;Lendavska ulica 5a;Murska Sobota;Slovenia;http://itc-cluster.com/dih-agrifood/;SI03;Vzhodna Slovenija
DIH- Confartigianato Ancona - Pesaro e Urbino;Via Fioretti 2/a;ANCONA;Italy;http://www.confartigianatoimprese.net/content/servizi-corsi-digital-innovation-hub-confartigianato-ancona;ITI3;Marche
DIH for digital twins of logistics systems and manufacturing processes and systems (DIH_DiTMaPS);Askerceva 6;Ljubljana;Slovenia;http://dih-ditmaps.si;SI04;Zahodna Slovenija
DIH High Tech Software Cluster;BIC 1;Eindhoven;Netherlands;https://hightechsoftwarecluster.nl/digital-innovation-hub/;NL41;Noord-Brabant
DIH Marche - 4M.0;Via Bianchi snc;Ancona;Italy;http://www.4m0.it/;ITI3;Marche
DIH North;Trg dr. Žarka Dolinara 18;Koprivnica;Croatia;https://www.dih-north.eu/;HR04;Kontinentalna Hrvatska
DIH on Healthcare – Basque Country (SALUD 4.0);Eusko Jaurlaritza / Gobierno Vasco C/ Donostia-1;Vitoria;Spain;https://dih-hero.eu/;ES21;País Vasco
DIH PANNONIA;A. Aksamovica 31;Vinkovci;Croatia;https://www.ra-vsz.hr/en;HR04;Kontinentalna Hrvatska
DIH Sicilia;Viale Vittorio Veneto, 109 c/o Confindustria Catania;Catania;Italy;http://www.dihsicilia.it/;ITG1;Sicilia
DIH Tartu;J. Liivi 2;Tartu;Estonia;https://www.cs.ut.ee/en/DIHTartu;EE00;Eesti
DIH TECHNICOM (organisation unit of the University Science Park TECHNICOM);Nemcovej 5;KOSICE;Slovakia;https://dihtechnicom.tuke.sk/;SK04;Východné Slovensko
DIH TERA;Trg Ljudevita Gaja 6;Osijek;Croatia;http://www.tera.hr;HR04;Kontinentalna Hrvatska
DIH Udine;Largo Carlo Melzi 2;Udine;Italy;http://www.dih.ud.it;ITH4;Friuli-Venezia Giulia
DIH UM;Slomškov trg 15, 2000 Maribor, Slovenia;Maribor;Slovenia;http://dih.um.si/en/;SI03;Vzhodna Slovenija
DIH West Region Romania;Gheorghe Lazar, nr 14, Timisoara;Timisoara;Romania;https://adrvest.ro/digital-innovation-hub/;RO42;Vest
DIH-BAITUR: Digital Innovation Hub of the Balearic Islands for Artificial Intelligence and Tourism;Parc Bit;Palma;Spain;http://www.dihbai-tur.com;ES53;Illes Balears
DIHBU Industry 4.0;C/ López Bravo nº 70.;Burgos;Spain;https://dihbu-industry.fundingbox.com/;ES41;Castilla y León
DIHGIGAL - Digital Innovation Hub of Galician Industry;Avenida de Citroën, 3 y 5;Vigo;Spain;https://dihgigal.com/;ES11;Galicia
DIHNAMIC - Digital Innovation Hub for Nouvelle-Aquitaine Manufacturing Industry Community;14 rue François Sourdis;Bordeaux;France;https://www.dihnamic.eu;FR61;Aquitaine (NUTS 2013)
DIHOST - Digital Innovation Hub OST;Niederösterreichring 2;St. Pölten;Austria;https://dih-ost.at/;AT12;Niederösterreich
DIHV;Via E. Lampridio Cerva 87A;Rome;Italy;http://www.dihv.it/;ITI4;Lazio
DIH4.AI;Al. Grunwaldzka 135A;Gdansk;Poland;https://dih4.ai/;PL63;Pomorskie
Dinapsis DIH;Avenida Alfonso Puchades  nº3;Benidorm;Spain;https://www.dinapsis.es/dih-dinapsis/;ES52;Comunidad Valenciana
DISTRITO DIGITAL COMUNIDAD VALENCIANA;Avda. Jean Claude Combaldieu s/n Ciudad de la Luz, Edificio de Apoyo a Producción 3;ALICANTE;Spain;https://distritodigitalcv.com/;ES52;Comunidad Valenciana
Dutch Optics Centre (DOC);Stieltjesweg 1;Delft;Netherlands;http://www.dutchopticscentre.com/;NL33;Zuid-Holland
Ecipa Nordest Hub;Via della Pila, 3b;Venezia;Italy;http://www.ecipahub.eu/;ITH3;Veneto
Ecosistema W;C/ Virgen de la Soledad 22;Badajoz;Spain;http://www.conectoride.com/;ES43;Extremadura
EcoSysTem Hub for the promotion of hIgh perforMance compUting cloud-based modeLling and sImulation services;Universitat Autonoma avenue, 23;Barcelona;Spain;http://www.stimuli.cat/;ES51;Cataluña
EDI DIH;14 Dzerbenes street;Riga;Latvia;https://www.edi.lv;LV00;Latvija
EDI.it - Digital Innovation Ecosystem;Piazza Giuseppe Gioacchino Belli 2;Rome;Italy;https://www.ediconfcommercio.it;ITI4;Lazio
e-Estonia Showroom;Lõõtsa 2 A;Tallinn;Estonia;https://e-estonia.com/;EE00;Eesti
Effiziente Fabrik 4.0;Otto-Berndt-Straße, 2;Darmstadt;Germany;https://www.effiziente-fabrik.tu-darmstadt.de/menue/index.de.jsp;DE71;Darmstadt
EGI DIH;Science Park;Amsterdam;Netherlands;https://www.egi.eu/business/;NL32;Noord-Holland
EIGEN VERMOGEN VAN HET INSTITUUT VOOR LANDBOUW- EN VISSERIJONDERZOEK;Burgemeester Van Gansberghelaan 115 bus 1;Merelbeke;Belgium;;BE23;Prov. Oost-Vlaanderen
EIT Digital Budapest Node;Pázmány Péter sétány, 1/c;Budapest;Hungary;https://www.eitdigital.eu/about-us/locations/budapest-node/;HU10;Közép-Magyarország (NUTS 2013)
EIT Digital Sweden;Isafjordsgatan 26;Kista (Sweden);Sweden;https://www.eitdigital.eu/about-us/locations/stockholm-node/;SE11;Stockholm
ELEKTRONIKAS UN DATORZINATNU INSTITUTS;DZERBENES IELA 14;RIGA;Latvia;;LV00;Latvija
ELEKTROTEHNICKI FAKULTET UNIVERZITET U BEOGRADU;BULEVAR KRALJA ALEKSANDRA  73;BEOGRAD;Serbia;;;
Eliko;Mäealuse, 2/1;Tallinn;Estonia;https://www.eliko.ee/;EE00;Eesti
Embedded System Design & Application Laboratory DIH (ESDALAB DIH);Megalou Alexandrou 1;Patra;Greece;https://dih.esdalab.ece.uop.gr;EL63;Dytiki Ellada
Emerging Transactional and Financial Technology Hub (ETFTH);ul. Migdałowa, 1;Warsaw;Poland;http://fintechpoland.com/en/;PL12;Mazowieckie (NUTS 2013)
Energy Valley;Oksenøveien 10;Lysaker;Norway;https://energyvalley.com/;NO01;Oslo og Akershus
EnergyDataDK;Elektrovej 329A;Kgs. Lyngby;Denmark;https://energydata.dk/en/;DK01;Hovedstaden
EOSC-DIH;Science Park 140;Amsterdam;Netherlands;https://www.eosc-dih.eu;NL32;Noord-Holland
EPCC;Bayes Centre, 47 Potterrow, Edinburgh, EH8 9BT;;United Kingdom;https://www.epcc.ed.ac.uk;UKM2;Eastern Scotland (NUTS 2013)
EPoSS e.V. - European Technology Platform on Smart Systems Integration;Steinplatz 1;Berlin;Germany;https://www.smart-systems-integration.org;DE30;Berlin
E-Secure Transactions Cluster - TES;8 rue léopold sédar senghor;Colombelles;France;https://www.pole-tes.com/;FR25;Basse-Normandie (NUTS 2013)
Eskisehir Osmangazi University Intelligent Factory and Robotics Laboratory (IFARLAB - DIH);Eskişehir Osmangazi University, ESOGU- IFARLAB, Meselik Campus / Eskisehir;Eskisehir;Turkey;https://ifarlab.ogu.edu.tr/;TR41;Bursa, Eskisehir, Bilecik
espaitec Science and Technology Park;Edificio ESPAITEC1, Avda Sos Baynat;Castellon;Spain;http://www.espaitec.uji.es;ES52;Comunidad Valenciana
ETICOM, Digital economy cluster in Andalusia;Avd. Eduardo Dato, 69, 4th floor, 2 office;Seville;Spain;http://www.eticom.com;ES61;Andalucía
European Digital Innovation Hub The Northern Netherlands / Region of Smart Factories;Paterswoldseweg 810;Groningen;Netherlands;https://rosf.nl/dih/;NL11;Groningen
Experience-based industries Hub (e!xperience);Edifici Cornerstone. C/Bilbao, 72;Barcelona;Spain;https://eurecat.org/en/sectors/cultural-and-creative-industries/;ES51;Cataluña
Experimental and Digital Factory (EDF);Erfenschlager Straße, 73;Chemnitz;Germany;https://www.tu-chemnitz.de/mb/FabrPlan/edf.php.en;DED4;Chemnitz
FAB4 Digital Innovation Hub Confartigianato Salerno;Via Michelangelo Testa, 11;Salerno;Italy;http://www.fab4dih.it/;ITF3;Campania
FACHHOCHSCHULE AACHEN;Eupener Straße 70;Aachen;Germany;;DEA2;Köln
FACHHOCHSCHULE ULM;PRITTWITZSTRASSE 10;ULM;Germany;;DE14;Tübingen
Farmers Parliament Latvia Digital Innovation Hub - ZSA DIH;Republikas laukums 2;Riga;Latvia;https://www.smartagro.lv/;LV00;Latvija
Faubourg Numérique;101 rue du general Leclerc;Saint-Quentin;France;http://faubourgnumerique.com/;FR22;Picardie (NUTS 2013)
Finnish Center for Artificial Intelligence (FCAI);Vuorimiehentie 3, Espoo;Espoo;Finland;https://fcai.fi/;FI1B;Helsinki-Uusimaa
FIWARE Innova iHub;Via dell'Acacia 4;Perugia;Italy;https://fiwareinnova.org/;ITI2;Umbria
FIWARE Space;Avenida Javier Blanco Palenciano, s/n;Badajoz;Spain;https://www.fiware.space/;ES43;Extremadura
FIWARE Zone;Concejal Muñoz Cerván 3, Edificio Tabacalera, Módulo 5;Malaga;Spain;https://fiware.zone/;ES61;Andalucía
Flam3D;Technologiepark-Zwijnaarde 935;Zwijnaarde;Belgium;https://www.flam3d.org;BE23;Prov. Oost-Vlaanderen
Flanders' FOOD, FF;Wetenschapsstraat 14a;Brussels;Belgium;http://www.flandersfood.com/;BE10;Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest
Flanders Make vzw;Oude Diestersebaan 133;Lommel;Belgium;https://www.flandersmake.be;;
FONDAZIONE BRUNO KESSLER;Via Sommarive 18;Povo - Trento;Italy;;ITH2;Provincia Autonoma di Trento
FORENINGEN MADE;Vesterbrogade 1E, 4. Sal, blok D;København;Denmark;;DK01;Hovedstaden
FORUM DES LABORATOIRES NATIONAUX EUROPEENS DE RECHERCHE ROUTIERE;Boulevard de la Woluwe  42;Brussels;Belgium;;BE10;Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest
Forum Virium Helsinki;Unioninkatu 24;Helsinki;Finland;http://www.forumvirium.fi;FI1B;Helsinki-Uusimaa
Foundation for innovation and technology development, INTERA Technology Park;Bišće polje;Mostar;Bosnia and Herzegovina;http://www.intera.ba;;
Foundation for Research and Technology – Hellas (FORTH) / PRAXI Network;Kolokotroni 8;Athens;Greece;https://www.praxinetwork.gr;EL30;Attiki
Frankfurt School Blockchain Center (FSBC) at the Frankfurt School of Finance & Management gGmbH (FS);Adickesallee 32-34;Frankfurt am Main;Germany;https://www.frankfurt-school.de/en/home/research/centres/blockchain;DE71;Darmstadt
Fraunhofer Future Work Lab (FWL);Pfaffenwaldring 19;Stuttgart;Germany;http://www.futureworklab.de;DE11;Stuttgart
Fraunhofer IPA - Robot and Assistive Systems;Nobelstr. 12;Stuttgart;Germany;http://www.ipa.fraunhofer.de/robotsystems;DE11;Stuttgart
FREDERICK RESEARCH CENTER;7, Y. Frederickou Str.;Nicosia;Cyprus;;CY00;Kypros
French Tech in the Alps;55, boulevard Vincent Auriol;Paris;France;http://www.lafrenchtech.com/metropole/french-tech-alps;FR71;Rhône-Alpes (NUTS 2013)
Freshteq.nl;Zwethlaan, 52;Honselersdijk;Netherlands;http://www.freshteq.nl/;NL33;Zuid-Holland
Fundación Cajamar;Puerta de Purchena, 10;Almeria;Spain;https://www.cajamar.es/es/agroalimentario/innovacion/;ES61;Andalucía
FUNDACION CENTRO TECNOLOXICO DE TELECOMUNICACIONS DE GALICIA;Edificio CITEXVI - Campus Universitario;Vigo;Spain;;ES11;Galicia
FUNDACION DEUSTO;Avenida de las Universidades  24;Bilbao;Spain;;ES21;País Vasco
FUNDACION PARA LAS TECNOLOGIAS AUXILIARES DE LA AGRICULTURA;AVDA DE LA INNOVACION 23 PARQUE TECNOLOGICO DE ALMERIA EL ALQUIAN;ALMERIA;Spain;;ES61;Andalucía
FUNDACJA ROZWOJU KARDIOCHIRURGII IM PROF ZBIGNIEWA RELIGI;UL. WOLNOSCI  345 A;ZABRZE;Poland;;PL22;Slaskie
Future Cities Catapult;The Urban Innovation Centre, One Sekforde st;London;United Kingdom;http://futurecities.catapult.org.uk;UKI4;Inner London - East
Future Position X;Drottninggatan 18 80320 Gävle;Gävle;Sweden;https://fpx.se/;SE31;Norra Mellansverige
Future Technologies Digital Innovation Hub (FTDIH);Mokslininku st. 2A;Vilnius;Lithuania;https://www.futuredih.eu/;LT00;Lietuva (NUTS 2013)
Futures of Innovation and Technology Digital Innovation Hub;Memorandumului Street, 41;Brasov;Romania;https://digitalinnovationhub.fit/;RO12;Centru
FZI Research Center for Information Technology;Haid-und-Neu-Str., 10-14;Karlsruhe;Germany;http://www.fzi.de/en/home/;DE12;Karlsruhe
Galician Automotive Hub;CTAG. Polígono industrial A Granxa 249-250.;"O Porri&#241;o";Spain;https://ctag.com/;ES11;Galicia
GALician manufACTuring Innovation ConsortiA (GALACTICA);Polígono Industrial de Cataboi SUR-PPI-2 (Sector 2) Parcela 3 36418 O Porriño (Pontevedra);O Porriño;Spain;http://www.galacticaDIH.eu/;ES11;Galicia
Galileo Digital Innovation Hub;Corso Stati Uniti 14 bis;Padova;Italy;https://www.galileovisionarydistrict.it/galileo-digital-innovation-hub/;ITH3;Veneto
GjirafaLab;Ahmet Krasniqi Veranda, Lokali 7;Prishtina;Kosovo;http://www.gjirafalab.com/;;
Global Alliance for Media Innovation (GAMI);72 rue d'Hauteville;Paris;France;https://media-innovation.news/;FR10;Île de France
Globus 2020 S.r.l.;Via G. V. Quaranta 8;Salerno;Italy;https://www.globus2020.com;ITF3;Campania
Good Life for Finland;Kaitoväylä 1;Oulu;Finland;https://www.vttresearch.com/;FI1D;Pohjois- ja Itä-Suomi
Granada Health Technology Park;Avenida del Conocimiento, 33;Granada;Spain;http://www.ptsgranada.com/;ES61;Andalucía
Granada Plaza Tecnológica y Biotecnológica;C/. Maestro Montero 23;Granada;Spain;https://www.ongranada.com/;ES61;Andalucía
GreenSupplyChain DIH;Viktoros Ougko 15;Athens;Greece;https://www.greensupplychain.gr/;EL30;Attiki
Hahn-Schickard Gesellschaft für Angewandte Forschung e.V. (Hahn-Schickard);Wilhelm-Schickard-Str., 10;Villingen-Schwenningen;Germany;https://www.hahn-schickard.de/;DE13;Freiburg
Harbour Innovation Campus;Harbour Innovation Campus Ltd. St. Michaels Pier, Harbour Road, Dún Laoghaire Co. Dublin;Dublin;Ireland;https://harbourcampus.com/;IE02;Southern and Eastern (NUTS 2013)
Haute Ecole Louvain en Hainaut, HELHa;Chaussée de Binche 159;Mons;Belgium;https://www.cerisic.be/;BE32;Prov. Hainaut
Healthday.si - Digital Innovation Hub in Healthcare and Biotech;Tehnološki park 19;Ljubljana;Slovenia;http://www.healthday.si/about-us-and-dih;SI04;Zahodna Slovenija
HPC-Cloud and Cognitive Systems for Smart Manufacturing processes, Robotics and Logistics.;C/ María de Luna 7-9;Zaragoza;Spain;https://www.aragondih.com;ES24;Aragón
HPC4Poland;10 Jana Pawla II st.;Poznan;Poland;http://www.hpc4poland.pl;PL41;Wielkopolskie
HPC5 - High Performance and Cloud Computing Cross-border Competence Consortium;Industrijska cesta 1a;Nova Gorica;Slovenia;https://hpc5.eu/eng/;SI04;Zahodna Slovenija
HUB for Agriculture (HUB4AGRI);Av. Prof. Dr. Cavaco Silva, 33;Lisbon;Portugal;http://hub4agri.com/;PT17;Área Metropolitana de Lisboa
Hub for Digital Innovations (H4DI);Ve Struhach 27, 160 00 Praha 6;Praha;Czech Republic;http://www.H4DI.cz;CZ01;Praha
Hub France IA;8/10 rue Charles V;PARIS;France;http://www.hub-franceia.fr;;
Hub 4.0  of Manufacturing Sectors in  Valencian Region;Universitat Politécnica de Valencia. Instituto Universitario de Automática e Informática Industrial;Valencia;Spain;http://hub4manuval.ai2.upv.es;ES52;Comunidad Valenciana
hub.in Bjelovar;Eugen Kvaternik Square 6;Bjelovar;Croatia;https://www.hubinbjelovar.com/;HR04;Kontinentalna Hrvatska
Hub-laboratory Internet of Things: DIH I4MS Ukraine;12, Stepana Bandery str;L'viv;Ukraine;http://i-hub.lpnu.ua;;
HUBTECS;Bulevar kralja Aleksandra 73;Belgrade;Serbia;http://www.ic.etf.bg.ac.rs/projects/hubtecs/;;
HUB385;Petračićeva 4;Zagreb;Croatia;https://hub385.com/;HR04;Kontinentalna Hrvatska
HUB387;Maglajska 1;Sarajevo;Bosnia and Herzegovina;http://www.hub387.com/;;
iAsturias 4.0;Avda. Jardín Botánico, 1345;Gijon;Spain;http://www.prodintec.es/es/;ES12;Principado de Asturias
ICM - Brain and Spine institute;83 Boulevard de l'Hôpital;Paris;France;http://icm-institute.org/fr/mission/;FR10;Île de France
ICT HUB;Kralja Milana 10;Belgrade;Serbia;http://icthub.rs/;;
ICT4Manuf;IUT Lumière Lyon 2, 160 Boulevard de l'Université;BRON;France;https://ict4manuf.univ-lyon2.fr/Digital-Innovation-Hub/?page_id=1695;FR71;Rhône-Alpes (NUTS 2013)
ICUK Digital Innovation HUB;Velká Hradební 2800/54, 40001 Ústí nad Labem;Ústí nad Labem;Czech Republic;https://www.icuk.cz;CZ04;Severozápad
IDEAL (Innovation and Digital Enterprise Alliance London);69 Wilson Street;London;United Kingdom;http://www.idea-london.co.uk/;UKI4;Inner London - East
IDRYMA TECHNOLOGIAS KAI EREVNAS;N PLASTIRA STR 100;HERAKLION;Greece;;EL43;Kriti
ID2Santé - Innovation and Development of the Health sector in Bretagne;2 avenue du Pr Léon Bernard;Rennes;France;http://www.id2sante.com/index.php?rub=who_we_are_;FR52;Bretagne (NUTS 2013)
ID4CAR;TECHNOCAMPUS, ZI du Chaffault;Bouguenais;France;http://www.id4car.org/;FR51;Pays de la Loire (NUTS 2013)
i.ku - Innovationsplattform Kufstein / Innovation Hub Kufstein, Tyrol;Andreas Hofer-Straße 7;Kufstein;Austria;https://www.iku.tirol/;AT33;Tirol
Images et Réseaux;4 rue ampère;Lannion;France;http://www.images-et-reseaux.com/fr;FR52;Bretagne (NUTS 2013)
iMan Norte Hub - Digital Innovation Hub for Customer-Driven Manufacturing @ Norte;Rua dos Plátanos  nº 197;Porto;Portugal;https://www.imannortehub.com/;PT11;Norte
IMEC;Kapeldreef, 75;Leuven;Belgium;https://www.imec-int.com/en/home;BE24;Prov. Vlaams-Brabant
IMPERIAL COLLEGE OF SCIENCE TECHNOLOGY AND MEDICINE;SOUTH KENSINGTON CAMPUS EXHIBITION ROAD;LONDON;United Kingdom;;UKI3;Inner London - West
Independent Platform for Photonics in Data Centers, PhoxLab;Gustav-Meyer-Allee 25;Berlin;Germany;https://www.phoxlab.eu/;DE30;Berlin
Industrial Digital Platforms DIH;Maarintie, 6;Espoo;Finland;https://www.eitdigital.eu/innovation-entrepreneurship/digital-industry/;FI1B;Helsinki-Uusimaa
Industrial Reality Hub;Laan van Malkenschoten, 40;Apeldoorn;Netherlands;http://www.industrialrealityhub.com;NL22;Gelderland
Industrial Ring;c/ Gran Capità  2-4 Edifici Nexus I 2ª planta 203;Barcelona;Spain;http://anellaindustrial.cat;ES51;Cataluña
Industrial Technology Knowledge Linares DIH;Centro de Innovación Campus Científico-Tecnológico, RONDA SUR S/N;Linares;Spain;http://dih-itkl.es/;ES61;Andalucía
Industry 4.0 National Technology Platform;Kende u., 13-17;Budapest;Hungary;https://www.i40platform.hu/en;HU10;Közép-Magyarország (NUTS 2013)
INFOBALT DIH;Mokslininku str. 2A-128;Vilnius;Lithuania;https://infobalt.lt/dih/;LT00;Lietuva (NUTS 2013)
INFOPOLE Cluster TIC;Rue Camille Hubert, 2 5032 Gembloux;Gembloux;Belgium;http://clusters.wallonie.be/infopole-fr/;BE35;Prov. Namur
INFOTEC, CENTRO DE INVESTIGACION E INNOVACION EN TECNOLOGIAS DE LA INFORMACION Y COMUNICACION;San Fernando 37;Mexico City;Austria;;;
Infrastructure and Cloud data centre test Environment (SICS ICE);Bjorkskataleden, 112;"Lule&#229;";Sweden;http://ice.sics.se;SE33;Övre Norrland
innomine Digital Innovation Hub;Zahony u. 7.;Budapest;Hungary;http://innomine.com/digital-innovation-hub;HU10;Közép-Magyarország (NUTS 2013)
innomine Digital Innovation Hub Nonprofit Kft.;Záhony utca 7.;Budapest;Hungary;;HU10;Közép-Magyarország (NUTS 2013)
innomine DIH - South Transdanubian branch;Kodaly Zoltan utca 15/b 2. em. 7;Pécs;Hungary;http://innomine.com/digital-innovation-hub;HU23;Dél-Dunántúl
Innoskart Digital Innovation Hub;Móricz Zsigmond u. 14.;Székesfehérvár;Hungary;https://innoskart.digital/en/projektek/digital-innovation-hub/;HU21;Közép-Dunántúl
Innovalia ZDM Digital Innovation Hub;Automotive Intelligence Centre (AIC) - Parque Empresarial P2-A4;Amorebieta-Etxano;Spain;http://digiware.org;ES21;País Vasco
Innovation Center for Artificial Intelligence;Science Park 904, Amsterdam;Amsterdam;Netherlands;http://icai.ai;NL32;Noord-Holland
INNOVATION CENTER OF MODERN INDUSTRY IN BRANDENBURG GERMANY;Gebäude 3A, Siemens-Halske-Ring 14;Cottbus;Germany;http://www.imi4bb.de;DE40;Brandenburg
Innovation Centre Kosovo (ICK);Rexhep Mala strt. 28A;Prishtina;Kosovo;http://ickosovo.com/;;
Innovation Cluster Drachten (ICD);de Tijen 3;drachten;Netherlands;http://www.icdrachten.nl;NL12;Friesland (NL)
innovation experience HUB (InnexHUB);Via Cefalonia, 60;Brescia;Italy;https://www.innexhub.it;ITC4;Lombardia
Innovation for Manufacturing in the South (I4MSOUTH);Parque Cientifico Murcia 1 Floor Bulding T;Murcia;Spain;https://i4msouth.fundingbox.com/;ES62;Región de Murcia
Innovation Hub;Rr. Papa Gjon Pali II;Tirana;Albania;http://www.innovationhub.al/;;
inNOVA4TECH hub – inNOVAtion Hub for TECHnology Transfer;UNINOVA – Campus da Caparica, 2829-516, Caparica (Portugal);Caparica;Portugal;http://www.innova4tech.uninova.pt/;PT17;Área Metropolitana de Lisboa
INOVACIJSKI CENTAR NIKOLA TESLA;Unska 3;Zagreb;Croatia;;HR04;Kontinentalna Hrvatska
Insight Centre for Data Analytics;DERI Building, IDA Business Park;Galway;Ireland;https://www.insight-centre.org/;IE01;Border, Midland and Western (NUTS 2013)
Insomnia Digital Innovation Hub;Muelle de Poniente Poblados Marítimos;Valencia;Spain;http://www.innsomnia.es/;;
INSPIRE AG FUR MECHATRONISCHE PRODUKTIONSSYSTEME UND FERTIGUNGSTECHNIK;Lerchenfeldstrasse 3;St. Gallen;Switzerland;;CH05;Ostschweiz
Institut de l'Elevage - Idele;149, Rue de Bercy;Paris;France;https://idele.fr/;FR10;Île de France
INSTITUT FÜR ANGEWANDTE SYSTEMTECHNIK BREMEN GMBH;Wiener Strasse  1;BREMEN;Germany;;DE50;Bremen
INSTITUT NATIONAL DE RECHERCHE EN SCIENCES ET TECHNOLOGIES POUR L'ENVIRONNEMENT ET L'AGRICULTURE;9 avenue Blaise Pascal;Aubière;France;;FR72;Auvergne (NUTS 2013)
Institute of Advanced Studies - ForschungsKollegSiegen;Weidenauer Straße 167;Siegen;Germany;http://www.uni-siegen.de/fokos/;DEA5;Arnsberg
Institute of Electron Technology (ITE);Al.Lotników 32/46;Warsaw;Poland;http://www.ite.waw.pl;PL12;Mazowieckie (NUTS 2013)
Institute of Entrepreneurship Development (iED);169 Iroon Politechniou str;Larissa;Greece;https://ied.eu/;EL61;Thessalia
